,TF-IDF
descuentos,0.011355829825051093
proporcionaría,0.011355829825051093
brindando,0.011355829825051093
pólvora,0.011355829825051093
aliento,0.011355829825051093
recluida,0.011355829825051093
afirma,0.01125489004467771
suministradas,0.011245110089408691
ascendencia,0.011245110089408691
concretar,0.011245110089408691
originaria,0.011245110089408691
pesadilla,0.011245110089408691
sanciona,0.011245110089408691
casual,0.011245110089408691
futuro,0.011235574444019193
transnacional,0.011190951689470898
narcotraficantes,0.011172924537659883
huesos,0.011141538693623911
confrontar,0.011141538693623911
136,0.011141538693623911
ambiguo,0.011141538693623911
boyante,0.011141538693623911
cúpulas,0.011141538693623911
pagaría,0.011141538693623911
dictado,0.011141538693623911
trabajar,0.011060689203261313
fechado,0.011044248322078702
portaba,0.011044248322078702
llaves,0.011044248322078702
atípico,0.011044248322078702
volviera,0.011044248322078702
informara,0.011044248322078702
temidas,0.011044248322078702
predecible,0.011044248322078702
sureña,0.011044248322078702
sólo,0.011038696236750288
casi,0.011001430682342103
llegarían,0.010952520519862279
ligas,0.010952520519862279
rosales,0.010952520519862279
sentó,0.010952520519862279
sumarse,0.010952520519862279
ordenara,0.010952520519862279
pandilleros,0.010866108460170896
remover,0.010865753462383066
enemigas,0.010865753462383066
garras,0.010865753462383066
desprendió,0.010865753462383066
mil,0.010837629131442603
exconvictos,0.010783438001779408
recomendado,0.010783438001779408
corría,0.010783438001779408
demandado,0.010783438001779408
realizarse,0.010783438001779408
protegía,0.010705139563660178
escisión,0.010705139563660178
sencillamente,0.010705139563660178
seno,0.010705139563660178
discutió,0.010705139563660178
hace,0.010702509928848991
siempre,0.01065574909981112
oriundo,0.010630484259102374
ánimos,0.010630484259102374
recibiera,0.010630484259102374
quedara,0.010630484259102374
venderlas,0.010630484259102374
obligatorio,0.010630484259102374
voló,0.010630484259102374
alguna,0.010586836806432137
tal,0.010571141913107672
formaba,0.010559148086326721
confederación,0.010559148086326721
narra,0.010559148086326721
latino,0.010559148086326721
religiosas,0.010559148086326721
marihuana,0.010545153112900503
miles,0.010514241805377623
embargo,0.010493316763005491
reafirmar,0.010490848432232995
corrió,0.010490848432232995
requisito,0.010490848432232995
135,0.010490848432232995
periódicamente,0.010490848432232995
pocos,0.010468425970160835
pandilleril,0.010425337309934902
empezaba,0.010425337309934902
volar,0.010362395923405439
droga,0.010320869606720703
agregar,0.010301830258471362
contados,0.010301830258471362
mierda,0.010301830258471362
jugada,0.010301830258471362
anterior,0.010286655637118352
repitió,0.010243467476030894
prometedor,0.010243467476030894
ocho,0.01020647044117373
acciones,0.010201815474020999
sinónimo,0.010187152938469116
dividir,0.010187152938469116
confidenciales,0.010187152938469116
prefirió,0.010187152938469116
hacen,0.01016481680161762
injerencia,0.010132747740388491
orden,0.010128239775685725
suceso,0.010080126644375558
desarrollan,0.010080126644375558
dependencias,0.010080126644375558
resguardo,0.010080126644375558
severamente,0.010080126644375558
mayores,0.010060761481857921
verdaderamente,0.010029176344603711
anunciaba,0.010029176344603711
impidió,0.010029176344603711
planteó,0.009979793997711458
ancho,0.009979793997711458
esperado,0.009979793997711458
pactado,0.009979793997711458
ausente,0.009931885973058502
envuelto,0.009931885973058502
asesinan,0.009931885973058502
ser,0.009887103266409137
doctor,0.009885366784186389
conjuntos,0.009885366784186389
significaba,0.009796188306802506
colega,0.009796188306802506
advirtieron,0.009796188306802506
bancarios,0.009753391113362866
apellido,0.009753391113362866
confiar,0.009711705662014522
encuentren,0.009711705662014522
centroamérica,0.009691144734551632
inglés,0.009683219794008784
cuestionó,0.009671075652759207
conformadas,0.009671075652759207
emprender,0.009671075652759207
valdez,0.009631448956849857
desesperación,0.009631448956849857
notables,0.009631448956849857
discutieron,0.009631448956849857
federal,0.009616636334928175
acusado,0.00961276234617879
gran,0.00959717817170773
san,0.00959346223216458
costar,0.009592777214639978
códigos,0.009592777214639978
lenguaje,0.009555015480758766
preguntar,0.009555015480758766
boletín,0.009555015480758766
condado,0.009518121910082174
fría,0.009518121910082174
hollywood,0.009518121910082174
libras,0.009482057478997575
aprovechó,0.009482057478997575
publicidad,0.009482057478997575
conocían,0.009482057478997575
prefiere,0.00944678573730652
aceptación,0.00944678573730652
deshacerse,0.00944678573730652
soto,0.009412272586811158
demostrando,0.009412272586811158
golpear,0.009412272586811158
abundante,0.009378486083212794
20,0.009363311461859782
mientras,0.00935385942040656
hicieran,0.009345396258437876
clandestino,0.009345396258437876
agrupación,0.009345396258437876
transacción,0.009345396258437876
carteles,0.009317078207310843
presenten,0.009312974960914702
gerardo,0.009312974960914702
integración,0.009312974960914702
contaban,0.009312974960914702
quiera,0.009281195711667587
ingresó,0.009281195711667587
secretaria,0.009281195711667587
nombrar,0.009250033574385239
memoria,0.009250033574385239
efraín,0.009219465037865937
pies,0.009189467909451162
aclarar,0.009189467909451162
motivación,0.009160021218237668
movió,0.009160021218237668
claro,0.009131857632094337
arellano,0.009131105127010694
protegerse,0.009131105127010694
extenso,0.009131105127010694
jurado,0.009131105127010694
levantado,0.009131105127010694
existir,0.00910270085197195
junto,0.009098700319760376
mexicanos,0.009088819554781299
toda,0.009082249236644064
encabezado,0.00904735744886922
once,0.00904735744886922
marzo,0.00904310729679047
viajó,0.00902038539136829
criminal,0.009005773229479128
conocido,0.008998036957349588
convertiría,0.00899385917347145
america,0.00899385917347145
40000,0.00899385917347145
vendió,0.00899385917347145
negociador,0.008967764295355358
escasa,0.008967764295355358
concesión,0.008967764295355358
deciden,0.008967764295355358
ley,0.00894414612299065
76,0.00891681399558351
restablecer,0.00891681399558351
servando,0.00891681399558351
admitido,0.00891681399558351
puede,0.008899424886979394
instrucciones,0.008891932882540733
consistía,0.008891932882540733
llena,0.008891932882540733
representó,0.008891932882540733
sostener,0.008891932882540733
forma,0.008826859252903892
participando,0.008796095475915604
extender,0.008773004435166189
preguntarse,0.008773004435166189
rubén,0.008750240937972272
operación,0.00874901067771447
salvo,0.008727795821821878
políticos,0.008710783207258035
cien,0.00870566030336601
formaron,0.00870566030336601
penitenciaria,0.00870566030336601
viajar,0.00870566030336601
azul,0.008683825957782304
claudia,0.008683825957782304
representación,0.008683825957782304
pertenecía,0.008662284699523785
muchas,0.008658593451025848
ganancia,0.008641028764342666
seguían,0.008641028764342666
tantas,0.008641028764342666
compañero,0.008641028764342666
celda,0.008641028764342666
consideró,0.008620050692489155
intervenciones,0.008620050692489155
pública,0.008607238766813257
mes,0.008598758975119254
juegan,0.008558713303739005
sostuvo,0.008538777648060247
agresión,0.008538777648060247
compuesta,0.008538777648060247
prefieren,0.008499634252755245
límite,0.008442653131738566
prometido,0.008442653131738566
reunirse,0.008442653131738566
punta,0.008405759561061973
sigue,0.008393734032052274
hablaron,0.008387626038806289
cerró,0.008387626038806289
selección,0.008387626038806289
inevitable,0.008369695129977374
47,0.00835196235679222
brindar,0.00835196235679222
pertenece,0.00835196235679222
pertenecían,0.00833442338828632
club,0.00833442338828632
otrora,0.00833442338828632
repetidas,0.008317074033964441
1993,0.008299910237790958
telefónica,0.008299910237790958
félix,0.008299910237790958
empezado,0.00828292807249816
grabaciones,0.00828292807249816
sombra,0.008266123734192594
pandillera,0.008249493537240851
distribuidores,0.008249493537240851
deudas,0.008249493537240851
decidieron,0.008233033909417676
informante,0.008168833362647386
querían,0.008153176656562379
entorno,0.008137671225365038
1992,0.008107102688845737
establecidas,0.008107102688845737
gana,0.008092034036869401
pista,0.008077105560430961
trataba,0.008077105560430961
estrechamente,0.008077105560430961
según,0.008056251948578336
adentro,0.008018742777990492
respeto,0.007990338502951751
alcanzó,0.007976322696441817
momento,0.007963166245293444
trato,0.007962428240428714
portavoz,0.007948653051603406
extensión,0.007908023042348089
electrónico,0.007908023042348089
observó,0.007894705126540436
rico,0.007881496824451252
abandonar,0.007868396346438742
círculo,0.007855401946335158
conducta,0.007855401946335158
pagado,0.007855401946335158
mercancía,0.007855401946335158
decidido,0.007855401946335158
sintéticas,0.007855401946335158
conocen,0.007842511920049998
alguno,0.007829724604228861
siguiendo,0.007829724604228861
tareas,0.007817038374965323
año,0.007813695497252918
acto,0.007804451646563309
mercancías,0.007804451646563309
meses,0.007800620156435628
cómo,0.007780868713862233
jurisdicción,0.007767273158061806
cerrar,0.007767273158061806
perdió,0.007755069299671057
éstos,0.007730936519420859
distintas,0.007719004868586459
reglas,0.007719004868586459
petición,0.007707161275018102
jimmy,0.007695404448481996
manera,0.007692396846299282
americanos,0.007637878588952074
llaman,0.007626616790843501
metanfetaminas,0.007626616790843501
cayó,0.007615433472801678
desarrollar,0.00760432754858421
48,0.00760432754858421
